"N"	"P"	"Corr"	"Ratio"	"Stab"	"MSE"	"FP"	"FN"	"num_select"	"FDR"	"MSE_mean"	"FP_mean"	"FN_mean"
500	50	"0.7"	0.1	0.6	"0.27 ( 0 )"	"4.38 ( 0.21 )"	"0 ( 0 )"	9.38	"0.33"	0.27	4.38	0
1000	50	"0.7"	0.05	0.74	"0.27 ( 0 )"	"2.84 ( 0.14 )"	"0 ( 0 )"	7.84	"0.21"	0.27	2.84	0
50	100	"0.7"	2	0.23	"0.8 ( 0.04 )"	"11.57 ( 0.53 )"	"1.26 ( 0.1 )"	15.31	"0.66"	0.8	11.5	1.26
100	100	"0.7"	1	0.31	"0.39 ( 0.01 )"	"11.68 ( 0.51 )"	"0.1 ( 0.04 )"	16.58	"0.61"	0.39	11.6	0.1
500	100	"0.7"	0.2	0.49	"0.28 ( 0 )"	"6.56 ( 0.32 )"	"0 ( 0 )"	11.56	"0.44"	0.28	6.56	0
1000	100	"0.7"	0.1	0.63	"0.27 ( 0 )"	"4.24 ( 0.26 )"	"0 ( 0 )"	9.24	"0.3"	0.27	4.24	0
50	500	"0.7"	10	0.12	"1.37 ( 0.08 )"	"19.8 ( 0.33 )"	"2.78 ( 0.08 )"	22.02	"0.85"	1.37	19.8	2.78
100	500	"0.7"	5	0.19	"0.62 ( 0.03 )"	"18.58 ( 0.85 )"	"0.88 ( 0.08 )"	22.7	"0.75"	0.62	18.5	0.88
500	500	"0.7"	1	0.36	"0.3 ( 0 )"	"11.31 ( 0.6 )"	"0 ( 0 )"	16.31	"0.58"	0.3	11.3	0
1000	500	"0.7"	0.5	0.46	"0.27 ( 0 )"	"7.93 ( 0.49 )"	"0 ( 0 )"	12.93	"0.47"	0.27	7.93	0
50	1000	"0.7"	20	0.09	"1.5 ( 0.08 )"	"22.99 ( 0.35 )"	"3.2 ( 0.09 )"	24.79	"0.88"	1.5	22.9	3.2
100	1000	"0.7"	10	0.14	"0.77 ( 0.04 )"	"22.43 ( 0.68 )"	"1.45 ( 0.1 )"	25.98	"0.82"	0.77	22.4	1.45
500	1000	"0.7"	2	0.3	"0.31 ( 0 )"	"14.7 ( 0.84 )"	"0 ( 0 )"	19.7	"0.65"	0.31	14.7	0
1000	1000	"0.7"	1	0.41	"0.28 ( 0 )"	"9.63 ( 0.54 )"	"0 ( 0 )"	14.63	"0.53"	0.28	9.63	0
50	50	"0.9"	1	0.31	"0.55 ( 0.03 )"	"5.65 ( 0.29 )"	"2.17 ( 0.13 )"	8.48	"0.51"	0.55	5.65	2.17
100	50	"0.9"	0.5	0.38	"0.38 ( 0.02 )"	"5.85 ( 0.3 )"	"1.03 ( 0.11 )"	9.82	"0.45"	0.38	5.85	1.03
500	50	"0.9"	0.1	0.61	"0.28 ( 0 )"	"4.34 ( 0.19 )"	"0.01 ( 0.01 )"	9.33	"0.33"	0.28	4.34	0.01
1000	50	"0.9"	0.05	0.76	"0.27 ( 0 )"	"2.71 ( 0.12 )"	"0 ( 0 )"	7.71	"0.2"	0.27	2.71	0
50	100	"0.9"	2	0.26	"0.6 ( 0.03 )"	"7.26 ( 0.35 )"	"2.69 ( 0.1 )"	9.57	"0.62"	0.6	7.26	2.69
100	100	"0.9"	1	0.31	"0.44 ( 0.01 )"	"7.79 ( 0.39 )"	"1.51 ( 0.11 )"	11.28	"0.57"	0.44	7.79	1.51
500	100	"0.9"	0.2	0.51	"0.29 ( 0 )"	"6.45 ( 0.27 )"	"0 ( 0 )"	11.45	"0.45"	0.29	6.45	0
1000	100	"0.9"	0.1	0.61	"0.27 ( 0 )"	"4.72 ( 0.21 )"	"0 ( 0 )"	9.72	"0.35"	0.27	4.72	0
50	500	"0.9"	10	0.13	"0.81 ( 0.04 )"	"13.78 ( 0.36 )"	"3.54 ( 0.08 )"	15.24	"0.83"	0.81	13.7	3.54
100	500	"0.9"	5	0.18	"0.54 ( 0.02 )"	"13.78 ( 0.72 )"	"2.58 ( 0.08 )"	16.2	"0.76"	0.54	13.7	2.58
500	500	"0.9"	1	0.25	"0.3 ( 0 )"	"18.18 ( 0.69 )"	"0.03 ( 0.02 )"	23.15	"0.72"	0.3	18.1	0.03
1000	500	"0.9"	0.5	0.33	"0.28 ( 0 )"	"12.68 ( 0.57 )"	"0 ( 0 )"	17.68	"0.63"	0.28	12.6	0
50	1000	"0.9"	20	0.08	"0.9 ( 0.05 )"	"18.15 ( 0.34 )"	"3.92 ( 0.08 )"	19.23	"0.89"	0.9	18.1	3.92
100	1000	"0.9"	10	0.16	"0.59 ( 0.02 )"	"15.99 ( 0.66 )"	"2.88 ( 0.06 )"	18.11	"0.81"	0.59	15.9	2.88
500	1000	"0.9"	2	0.2	"0.31 ( 0 )"	"24.62 ( 1.01 )"	"0.05 ( 0.02 )"	29.57	"0.77"	0.31	24.6	0.05
1000	1000	"0.9"	1	0.25	"0.28 ( 0 )"	"18.51 ( 0.86 )"	"0 ( 0 )"	23.51	"0.71"	0.28	18.5	0
